Invoice No;Invoice Date;Party Name;City;State;Cat No;Product Description;Product Category;Quantity;Rate;Total Amt;Net Amount;TCS;Freight;Disc %;Adjustment Of Goods Return;LR No;LR Date;Transporter Name;Order No;PO No;Order Dt;Sales Person Name
JSC-00890/25-26;03.06.2025;ALLIED SCIENTIFIC PRODUCTS – KOLKATA;Kolkata;West Bengal;1001-090;GR 1 9.0CM 100/PK;467 CF Lab Catalogue Qualitative;5;910.6;4553;5491;0;100;42.00;0;200325797;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00886/25-26;asp/25060101;01.06.2025;Arnab
JSC-00891/25-26;03.06.2025;JIGNESH AGENCY PVT. LTD (MUMBAI);Thane;Maharashtra;1822-047;GF/C 4.7CM 100/PK;461 GF Lab Catalogue;1;3364;3364;4029;0;50;42.00;0;200325796;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00887/25-26;1626;02.06.2025;Rahul
JSC-00892/25-26;03.06.2025;PHARMAIDS AND EQUIPMENTS;Bicholim;Goa;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;2;3427.8;6855.6;8208;0;100;42.00;0;200325798;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00889/25-26;28/25-26;02.06.2025;Rahul
JSC-00893/25-26;03.06.2025;HI-TECH SCIENTIFIC & SURGICALS;Haldwani;Uttarakhand;1004-125;GR 4 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;1;1508;1508;208810;0;0;42.00;0;4162129929;03.06.2025;V Trans;SOP-00879/25-26;PO-09;31.05.2025;Nitin
JSC-00893/25-26;03.06.2025;HI-TECH SCIENTIFIC & SURGICALS;Haldwani;Uttarakhand;1441-125;GR 41 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;25;3590.2;89755;;;;42.00;0;4162129929;03.06.2025;V Trans;SOP-00879/25-26;PO-09;31.05.2025;Nitin
JSC-00893/25-26;03.06.2025;HI-TECH SCIENTIFIC & SURGICALS;Haldwani;Uttarakhand;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;25;3427.8;85695;;;;42.00;0;4162129929;03.06.2025;V Trans;SOP-00879/25-26;PO-09;31.05.2025;Nitin
JSC-00894/25-26;03.06.2025;MEDISPRAY LABORATORIES PVT.LTD.;Satara;Maharashtra;6874-1304;Whatman GD/X 13/0.45 PTFE 150/PK;490 EF Lab Cat Syringe Filters;4;17710;70840;83591;0;0;41.80;0;51599596705;03.06.2025;BLUE DART EXPRESS LTD;SOP-00870/25-26;4800742345;30.05.2025;Ashish
JSC-00895/25-26;03.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;9913-2502;Whatman Uniflo 25mm 0.22 PVDF S 45/PK;490 EF Lab Cat Syringe Filters;30;2095.5;62865;74181;0;0;45.00;0;bwd/333;03.06.2025;SHARMA TRANSLINK;SOP-00689/25-26;2500581;10.05.2025;Vishnu Kiran
JSC-00896/25-26;03.06.2025;Micro-Biotech Inc.;Mumbai;Maharashtra;1440-150;GR 40 15CM 100/PK;468 CF Lab Catalogue Quantitative;2;5474;10948;12919;0;0;30.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00892/25-26;05/2025-26;02.06.2025;Rahul
JSC-00897/25-26;03.06.2025;ZENITH INDIA;Guwahati;Assam;1001-150;GR 1 15.0CM 100/PK;467 CF Lab Catalogue Qualitative;5;1322.4;6612;8062;0;220;42.00;0;200277173;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00893/25-26;ZI/PO/W-0209/24-25;02.06.2025;Sudip
JSC-00898/25-26;03.06.2025;KHANDELWAL ENTERPRISES;Rudrapur;Uttarakhand;1820-047;GF/A 4.7CM 100/PK;461 GF Lab Catalogue;1;3346.6;3346.6;35926;0;100;42.00;0;200277172;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00909/25-26,SOP-00890/25-26;PO/03/06/2025,PO/02/06/2025;02.06.2025;Nitin
JSC-00898/25-26;03.06.2025;KHANDELWAL ENTERPRISES;Rudrapur;Uttarakhand;1822-055;GF/C 5.5CM 100/PK;461 GF Lab Catalogue;5;5399.8;26999;;;;42.00;0;200277172;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00909/25-26,SOP-00890/25-26;PO/03/06/2025,PO/02/06/2025;02.06.2025;Nitin
JSC-00899/25-26;03.06.2025;OSWAL SCIENTIFIC STORES (CHANDIGARH);Chandigarh;Chandigarh;1822-110;GF/C 11CM 100/PK;461 GF Lab Catalogue;2;9784.6;19569.2;23210;0;100;42.00;0;200277174;03.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00894/25-26;14;02.06.2025;Nitin
JSC-00900/25-26;03.06.2025;Navigene Genetic Science Pvt. Ltd.;Thane;Maharashtra;10538018;CF12 58X58CM 100PK;522 Proteinsaver 903;1;51856.8;51856.8;61191;0;0;37.27;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-01058/24-25;NAV/2024-2025/39;10.06.2024;Rahul
JSC-00901/25-26;03.06.2025;AMALGAMATED SUPPLIERS;Kolkata;West Bengal;1001-125;GR 1 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;50;1125.2;56260;66387;0;0;42.00;0;281980094;03.06.2025;DELHIVERY LIMITED;SOP-00896/25-26;Email;02.06.2025;Arnab
JSC-00902/25-26;03.06.2025;SHREE TRADERS ( VAPI );Vapi;Gujarat;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;25;3427.8;85695;101356;0;200;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00898/25-26;164;02.06.2025;Shishir
JSC-00903/25-26;03.06.2025;VASCO SCIENTIFICS PVT LTD;Visakhapatnam,;Andhra Pradesh;1822-055;GF/C 5.5CM 100/PK;461 GF Lab Catalogue;3;5399.8;16199.4;19823;0;600;42.00;0;51599596694;03.06.2025;BLUE DART EXPRESS LTD;SOP-00897/25-26;VSV-PO/0625/0001;02.06.2025;Sreenivas Mandadi
JSC-00904/25-26;03.06.2025;ICON BIOSYSTEMS;Hyderabad;Telangana;4652;Acrodisc 32mm SUPOR .2um gam 50pk;PALL LIFESCIENCE;1;5474.7;5474.7;29137;0;1200;37.00;0;5159596683;03.06.2025;BLUE DART EXPRESS LTD;SOP-00900/25-26,SOP-00899/25-26;IB-25-26-18,IB-25-26-17;02.06.2025;Sreenivas Mandadi
JSC-00904/25-26;03.06.2025;ICON BIOSYSTEMS;Hyderabad;Telangana;4612;Acrodisc 25mm SUPOR .2um gam 50pk;PALL LIFESCIENCE;5;3603.6;18018;;;;37.00;0;5159596683;03.06.2025;BLUE DART EXPRESS LTD;SOP-00900/25-26,SOP-00899/25-26;IB-25-26-18,IB-25-26-17;02.06.2025;Sreenivas Mandadi
JSC-00905/25-26;03.06.2025;JIGNESH AGENCY PVT LTD(HIMACHAL);Baddi;Himachal Pradesh;1001-125;GR 1 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;100;1125.2;112520;238910;0;0;42.00;0;4162804355;03.06.2025;V Trans;SOP-00903/25-26;000859VP;02.06.2025;Nitin
JSC-00905/25-26;03.06.2025;JIGNESH AGENCY PVT LTD(HIMACHAL);Baddi;Himachal Pradesh;1440-125;GR 40 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;10;3456.8;34568;;;;42.00;0;4162804355;03.06.2025;V Trans;SOP-00903/25-26;000859VP;02.06.2025;Nitin
JSC-00905/25-26;03.06.2025;JIGNESH AGENCY PVT LTD(HIMACHAL);Baddi;Himachal Pradesh;1441-110;GR 41 11CM 100/PK;468 CF Lab Catalogue Quantitative;2;3248;6496;;;;42.00;0;4162804355;03.06.2025;V Trans;SOP-00903/25-26;000859VP;02.06.2025;Nitin
JSC-00905/25-26;03.06.2025;JIGNESH AGENCY PVT LTD(HIMACHAL);Baddi;Himachal Pradesh;1822-125;GF/C 12.5CM 100/PK;461 GF Lab Catalogue;4;12220.6;48882.4;;;;42.00;0;4162804355;03.06.2025;V Trans;SOP-00903/25-26;000859VP;02.06.2025;Nitin
JSC-00906/25-26;03.06.2025;CRYSTAL SCIENTIFICS;Hyderabad;Telangana;1442-070;GR 42 7CM 100/PK;468 CF Lab Catalogue Quantitative;5;1943;9715;33361;0;600;42.00;0;51599596672;03.06.2025;BLUE DART EXPRESS LTD;SOP-00877/25-26,SOP-00905/25-26;108,111;30.05.2025;Sreenivas Mandadi
JSC-00906/25-26;03.06.2025;CRYSTAL SCIENTIFICS;Hyderabad;Telangana;2800-199;THIMBLE ST 19x90MM 25/PK;469 CF Lab Catalogue Thimbles;2;8978.4;17956.8;;;;42.00;0;51599596672;03.06.2025;BLUE DART EXPRESS LTD;SOP-00877/25-26,SOP-00905/25-26;108,111;30.05.2025;Sreenivas Mandadi
JSC-00907/25-26;03.06.2025;MEHTA SCIENTIFIC CORP.(CHENNAI);Chennai;Tamil Nadu;1450-090;GR 50 9CM 100/PK;468 CF Lab Catalogue Quantitative;10;2784;27840;106614;0;100;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00904/25-26;msc/002;02.06.2025;Elumalai
JSC-00907/25-26;03.06.2025;MEHTA SCIENTIFIC CORP.(CHENNAI);Chennai;Tamil Nadu;1542-125;GR 542 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;2;4924.2;9848.4;;;;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00904/25-26;msc/002;02.06.2025;Elumalai
JSC-00907/25-26;03.06.2025;MEHTA SCIENTIFIC CORP.(CHENNAI);Chennai;Tamil Nadu;1851-047;QMA 4.7CM 100/PK;461 GF Lab Catalogue;3;16680.8;50042.4;;;;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00904/25-26;msc/002;02.06.2025;Elumalai
JSC-00907/25-26;03.06.2025;MEHTA SCIENTIFIC CORP.(CHENNAI);Chennai;Tamil Nadu;9914-2504;Whatman Uniflo 25mm 0.45 PES S 45/PK;490 EF Lab Cat Syringe Filters;1;2520;2520;;;;37.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00904/25-26;msc/002;02.06.2025;Elumalai
JSC-00908/25-26;03.06.2025;BHATT CHEMI GLASS.;Mumbai;Maharashtra;9909-2502;Whatman Uniflo 25mm 0.22 PVDF 500/PK;490 EF Lab Cat Syringe Filters;6;17419.5;104517;123330;0;0;37.00;0;BHIWANDI;03.06.2025;hand delivery;SOP-00908/25-26;611-MUMBAI;03.06.2025;Rahul
JSC-00909/25-26;03.06.2025;Raj Sales Corporation;Bhavnagar;Gujarat;1703-050;ASHLESS CLIPPINGS 500g/PK;471 Lab Catalogue Speciality;2;4924.2;9848.4;11739;0;100;42.00;0;2,01E+11;03.06.2025;Mahavir Courier;SOP-00906/25-26;RSC/WH/0206;02.06.2025;Shishir
JSC-00910/25-26;03.06.2025;AMALGAMATED SUPPLIERS;Kolkata;West Bengal;1001-110;GR 1 11.0CM 100/PK;467 CF Lab Catalogue Qualitative;50;997.6;49880;107109;0;0;42.00;0;281980254;03.06.2025;DELHIVERY LIMITED;SOP-00912/25-26;Email;03.06.2025;Arnab
JSC-00910/25-26;03.06.2025;AMALGAMATED SUPPLIERS;Kolkata;West Bengal;1541-125;GR 541 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;10;4089;40890;;;;42.00;0;281980254;03.06.2025;DELHIVERY LIMITED;SOP-00912/25-26;Email;03.06.2025;Arnab
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1001-090;GR 1 9.0CM 100/PK;467 CF Lab Catalogue Qualitative;6;879.2;5275.2;763056;0;0;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1001-110;GR 1 11.0CM 100/PK;467 CF Lab Catalogue Qualitative;6;963.2;5779.2;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1004-917;GR 4 46x57CM 100/PK;467 CF Lab Catalogue Qualitative;2;21828.8;43657.6;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1440-090;GR 40 9CM 100/PK;468 CF Lab Catalogue Quantitative;5;2307.2;11536;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1440-110;GR 40 11CM 100/PK;468 CF Lab Catalogue Quantitative;5;2704.8;13524;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1440-150;GR 40 15CM 100/PK;468 CF Lab Catalogue Quantitative;5;4379.2;21896;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1441-110;GR 41 11CM 100/PK;468 CF Lab Catalogue Quantitative;5;3136;15680;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1442-110;GR 42 11CM 100/PK;468 CF Lab Catalogue Quantitative;13;2788.8;36254.4;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1703-050;ASHLESS CLIPPINGS 500g/PK;471 Lab Catalogue Speciality;72;4754.4;342316.8;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1827-047;934-AH 4.7CM 100/PK;461 GF Lab Catalogue;10;5712;57120;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;2800-258;THIMBLE ST 25x80MM 25/PK;469 CF Lab Catalogue Thimbles;6;8775.2;52651.2;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;2800-250;THIMBLE ST 25x100MM 25/PK;469 CF Lab Catalogue Thimbles;1;8512;8512;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00911/25-26;04.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;2800-280;THIMBLE ST 28x100MM 25/PK;469 CF Lab Catalogue Thimbles;4;8668.8;34675.2;;;;44.00;0;282019873;04.06.2025;DELHIVERY LIMITED;SOP-00895/25-26;a;02.06.2025;Jitender
JSC-00912/25-26;04.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1441-070;GR 41 7CM 100/PK;468 CF Lab Catalogue Quantitative;10;1919.8;19198;72267;0;100;42.00;0;2,01E+11;04.06.2025;Mahavir Courier;SOP-00917/25-26,SOP-00913/25-26,SOP-00826/25-26;33,32,28;03.06.2025;Shishir
JSC-00912/25-26;04.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1442-090;GR 42 9CM 100/PK;468 CF Lab Catalogue Quantitative;10;2366.4;23664;;;;42.00;0;2,01E+11;04.06.2025;Mahavir Courier;SOP-00917/25-26,SOP-00913/25-26,SOP-00826/25-26;33,32,28;03.06.2025;Shishir
JSC-00912/25-26;04.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1441-070;GR 41 7CM 100/PK;468 CF Lab Catalogue Quantitative;8;1919.8;15358.4;;;;42.00;0;2,01E+11;04.06.2025;Mahavir Courier;SOP-00917/25-26,SOP-00913/25-26,SOP-00826/25-26;33,32,28;03.06.2025;Shishir
JSC-00912/25-26;04.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;9918-2504;Whatman Uniflo 25mm 0.45 Nylon 100/PK;490 EF Lab Cat Syringe Filters;1;2923.2;2923.2;;;;37.00;0;2,01E+11;04.06.2025;Mahavir Courier;SOP-00917/25-26,SOP-00913/25-26,SOP-00826/25-26;33,32,28;03.06.2025;Shishir
JSC-00913/25-26;04.06.2025;S.K.TRADERS (INDORE) SEZ;Indore;Madhya Pradesh;9909-2504;Whatman Uniflo 25mm 0.45 PVDF 500/PK;490 EF Lab Cat Syringe Filters;3;15731.1;47193.3;52781.3;0;600;37.00;0;53572753150;04.06.2025;BLUE DART EXPRESS LTD;SOP-00914/25-26;PJ-XP2500344;03.06.2025;Jitender
JSC-00913/25-26;04.06.2025;S.K.TRADERS (INDORE) SEZ;Indore;Madhya Pradesh;1001-110;GR 1 11.0CM 100/PK;467 CF Lab Catalogue Qualitative;5;997.6;4988;;;;42.00;0;53572753150;04.06.2025;BLUE DART EXPRESS LTD;SOP-00914/25-26;PJ-XP2500344;03.06.2025;Jitender
JSC-00914/25-26;04.06.2025;ALPHA BIOSOLUTIONS;Chennai;Tamil Nadu;66191ME;ME25/21 ST 0.45uM 47MM 2000/PK;Pall;5;21500;107500;128266;0;1200;86.41;0;53572752660;04.06.2025;BLUE DART EXPRESS LTD;SOP-00756/25-26;ABS/JS/PO/020/25 – 26;23.05.2025;Elumalai
JSC-00915/25-26;04.06.2025;RESEARCH AID INSTRUMENTS & SERVICES;Baddi;Himachal Pradesh;;;;;;;0;0;2400;;0;;;TRACKON COURIERS PVT.LTD.;SOP-00770/25-26;RAB/24052025;24.05.2025;
JSC-00916/25-26;04.06.2025;LABORATORY EQUIPMENT STORES (COCHIN);Ernakulam;Kerala;1442-917;GR 42 46 x 57CM 100/PK;468 CF Lab Catalogue Quantitative;1;40843.6;40843.6;46361;0;550;42.00;0;100422743;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00910/25-26;LES25260012;03.06.2025;Elumalai
JSC-00917/25-26;04.06.2025;Kasliwal Bros.(Indore);Indore;Madhya Pradesh;1441-125;GR 41 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;20;3590.2;71804;166392;0;650;42.00;0;100422741;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00915/25-26;KBI/PO/JUNE2025;03.06.2025;Jitender
JSC-00917/25-26;04.06.2025;Kasliwal Bros.(Indore);Indore;Madhya Pradesh;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;20;3427.8;68556;;;;42.00;0;100422741;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00915/25-26;KBI/PO/JUNE2025;03.06.2025;Jitender
JSC-00918/25-26;04.06.2025;PHARMAIDS AND EQUIPMENTS;Bicholim;Goa;1001-125;GR 1 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;4;1125.2;4500.8;5429;0;100;42.00;0;200325792;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00916/25-26;31/25-26;03.06.2025;Rahul
JSC-00919/25-26;04.06.2025;CIPLA LTD (VIKHROLI);Mumbai;Maharashtra;2300-916;BENCHKOTE SHEET 46x57CM 50/PK;471 Lab Catalogue Speciality;2;4170;8340;9841;0;0;46.68;0;53572751234;04.06.2025;BLUE DART EXPRESS LTD;SOP-00911/25-26;4800743336;03.06.2025;Rahul
JSC-00920/25-26;04.06.2025;Ajay Scientific Co.;Mumbai;Maharashtra;1002-150;GR 2 15.0CM 100/PK;467 CF Lab Catalogue Qualitative;2;2018.4;4036.8;79459;0;0;42.00;0;100422742;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00920/25-26;18;04.06.2025;Rahul
JSC-00920/25-26;04.06.2025;Ajay Scientific Co.;Mumbai;Maharashtra;1004-150;GR 4 15CM 100/PK;467 CF Lab Catalogue Qualitative;3;2111.2;6333.6;;;;42.00;0;100422742;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00920/25-26;18;04.06.2025;Rahul
JSC-00920/25-26;04.06.2025;Ajay Scientific Co.;Mumbai;Maharashtra;1541-150;GR 541 15CM 100/PK;468 CF Lab Catalogue Quantitative;2;6948.4;13896.8;;;;42.00;0;100422742;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00920/25-26;18;04.06.2025;Rahul
JSC-00920/25-26;04.06.2025;Ajay Scientific Co.;Mumbai;Maharashtra;1822-055;GF/C 5.5CM 100/PK;461 GF Lab Catalogue;1;5399.8;5399.8;;;;42.00;0;100422742;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00920/25-26;18;04.06.2025;Rahul
JSC-00920/25-26;04.06.2025;Ajay Scientific Co.;Mumbai;Maharashtra;1823-047;GF/D 4.7CM 100/PK;461 GF Lab Catalogue;3;5829;17487;;;;42.00;0;100422742;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00920/25-26;18;04.06.2025;Rahul
JSC-00920/25-26;04.06.2025;Ajay Scientific Co.;Mumbai;Maharashtra;1825-047;GF/F 4.7CM 100/PK;461 GF Lab Catalogue;2;10092;20184;;;;42.00;0;100422742;04.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00920/25-26;18;04.06.2025;Rahul
JSC-00921/25-26;04.06.2025;VIJAY CHEMICALS;Pune;Maharashtra;66191ME;ME25/21 ST 0.45uM 47MM 2000/PK;Pall;1;21978;21978;259569;0;900;86.10;0;201021596916/15;04.06.2025;Mahavir Courier;SOP-00918/25-26;VC\PO\06\25-26\236;03.06.2025;Ashish
JSC-00921/25-26;04.06.2025;VIJAY CHEMICALS;Pune;Maharashtra;4251;Acro Vent 50mm PTFE .2um HB 18pk;PALL LIFESCIENCE;10;11825.1;118251;;;;37.00;0;201021596916/15;04.06.2025;Mahavir Courier;SOP-00918/25-26;VC\PO\06\25-26\236;03.06.2025;Ashish
JSC-00921/25-26;04.06.2025;VIJAY CHEMICALS;Pune;Maharashtra;4464;Acro Vent 37mm PTFE .2um HB 24pk;PALL LIFESCIENCE;5;15768.9;78844.5;;;;37.00;0;201021596916/15;04.06.2025;Mahavir Courier;SOP-00918/25-26;VC\PO\06\25-26\236;03.06.2025;Ashish
JSC-00922/25-26;04.06.2025;ICON BIOSYSTEMS;Hyderabad;Telangana;4652;Acrodisc 32mm SUPOR .2um gam 50pk;PALL LIFESCIENCE;5;5474.7;27373.5;86013;0;600;37.00;0;53572750501;04.06.2025;BLUE DART EXPRESS LTD;SOP-00922/25-26;IB-24-25-19;04.06.2025;Sreenivas Mandadi
JSC-00922/25-26;04.06.2025;ICON BIOSYSTEMS;Hyderabad;Telangana;4480;AcroCap SUPOR .2um gam 10pk;PALL LIFESCIENCE;5;8983.8;44919;;;;37.00;0;53572750501;04.06.2025;BLUE DART EXPRESS LTD;SOP-00922/25-26;IB-24-25-19;04.06.2025;Sreenivas Mandadi
